ride,datetime,wait_times
Manatees - Disney Animals,2021-07-24 11:01:05.496503-04:00,Closed
Mexico Folk Art Gallery,2021-07-24 11:01:05.496535-04:00,Closed
Monsieur Paul,2021-07-24 11:01:05.496567-04:00,Closed
Nine Dragons Restaurant,2021-07-24 11:01:05.496599-04:00,Closed
Palais du Cinéma,2021-07-24 11:01:05.496631-04:00,Closed
Project Tomorrow: Inventing the Wonders of the Future,2021-07-24 11:01:05.496663-04:00,Closed
Reef Fish - Disney Animals,2021-07-24 11:01:05.496702-04:00,Closed
Remy's Ratatouille Adventure,2021-07-24 11:01:05.496735-04:00,Closed
Restaurant Marrakesh,2021-07-24 11:01:05.496767-04:00,Closed
Sea Turtles - Disney Animals,2021-07-24 11:01:05.496799-04:00,Closed
SeaBase,2021-07-24 11:01:05.496831-04:00,Closed
Sharks and Rays - Disney Animals,2021-07-24 11:01:05.496862-04:00,Closed
Stave Church Gallery,2021-07-24 11:01:05.496894-04:00,Closed
Teppan Edo,2021-07-24 11:01:05.496926-04:00,Closed
Tokyo Dining,2021-07-24 11:01:05.496958-04:00,Closed
Tutto Italia Ristorante,2021-07-24 11:01:05.496990-04:00,Closed
Via Napoli Ristorante e Pizzeria,2021-07-24 11:01:05.497040-04:00,Closed
Walt Disney Imagineering presents the Epcot Experience,2021-07-24 11:01:05.497073-04:00,Closed
Awesome Planet,2021-07-24 11:21:05.311439-04:00,Closed
Disney & Pixar Short Film Festival,2021-07-24 11:21:05.312148-04:00,Closed
Journey Into Imagination With Figment,2021-07-24 11:21:05.312239-04:00,Closed
Living with the Land,2021-07-24 11:21:05.312277-04:00,Closed
Mission: SPACE,2021-07-24 11:21:05.312312-04:00,Closed
Soarin',2021-07-24 11:21:05.312346-04:00,Closed
Spaceship Earth,2021-07-24 11:21:05.312389-04:00,25 mins
Test Track Presented by Chevrolet,2021-07-24 11:21:05.312423-04:00,80 mins
The Seas with Nemo & Friends,2021-07-24 11:21:05.312457-04:00,Closed
Turtle Talk With Crush,2021-07-24 11:21:05.312491-04:00,Closed
Beauty and the Beast Sing-Along – Now Open!,2021-07-24 11:21:05.312529-04:00,Closed
Frozen Ever After,2021-07-24 11:21:05.312613-04:00,Closed
Gran Fiesta Tour Starring The Three Caballeros,2021-07-24 11:21:05.312663-04:00,5 mins
O Canada!,2021-07-24 11:21:05.312698-04:00,Closed
Advanced Training Lab,2021-07-24 11:21:05.312732-04:00,Closed
Akershus Royal Banquet Hall,2021-07-24 11:21:05.312766-04:00,Closed
American Heritage Gallery,2021-07-24 11:21:05.312800-04:00,Closed
Bijutsu-kan Gallery,2021-07-24 11:21:05.312833-04:00,Closed
Bruce's Shark World,2021-07-24 11:21:05.312867-04:00,Closed
Chefs de France,2021-07-24 11:21:05.312900-04:00,Closed
Coral Reefs - Disney Animals,2021-07-24 11:21:05.312938-04:00,Closed
Gallery of Arts and History,2021-07-24 11:21:05.312972-04:00,Closed
House of the Whispering Willows,2021-07-24 11:21:05.313006-04:00,Closed
"ImageWorks - The ""What If"" Labs",2021-07-24 11:21:05.313039-04:00,Closed
Invertebrates at Epcot - Disney Animals,2021-07-24 11:21:05.313072-04:00,Closed
Kidcot Fun Stops,2021-07-24 11:21:05.313106-04:00,Closed
La Cava del Tequila,2021-07-24 11:21:05.313139-04:00,Closed
