The Twilight Zone Tower of Terror,2021-07-25 09:01:22.450799-04:00,Closed
Alien Swirling Saucers,2021-07-25 09:01:22.450837-04:00,Closed
Slinky Dog Dash,2021-07-25 09:01:22.450870-04:00,Closed
Star Wars Launch Bay,2021-07-25 09:01:22.450902-04:00,Closed
Tune-In Lounge,2021-07-25 09:01:22.450933-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 09:21:03.659333-04:00,Closed
Walt Disney Presents,2021-07-25 09:21:03.659370-04:00,Open
Star Tours® - The Adventures Continue,2021-07-25 09:21:03.659404-04:00,15 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 09:21:03.659438-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 09:21:03.659473-04:00,50 mins
Muppet*Vision 3D,2021-07-25 09:21:03.659506-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 09:21:03.659539-04:00,25 mins
Millennium Falcon,2021-07-25 09:21:03.659572-04:00,60 mins
SWGE Attraction 2,2021-07-25 09:21:03.659605-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 09:21:03.659712-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 09:21:03.659748-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-25 09:21:03.659782-04:00,40 mins
Alien Swirling Saucers,2021-07-25 09:21:03.659815-04:00,5 mins
Slinky Dog Dash,2021-07-25 09:21:03.659848-04:00,90 mins
Star Wars Launch Bay,2021-07-25 09:21:03.659882-04:00,Closed
Tune-In Lounge,2021-07-25 09:21:03.659914-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 09:41:03.927391-04:00,Closed
Walt Disney Presents,2021-07-25 09:41:03.927428-04:00,Open
Star Tours® - The Adventures Continue,2021-07-25 09:41:03.927462-04:00,5 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 09:41:03.927495-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 09:41:03.927529-04:00,60 mins
Muppet*Vision 3D,2021-07-25 09:41:03.927562-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 09:41:03.927597-04:00,45 mins
Millennium Falcon,2021-07-25 09:41:03.927706-04:00,70 mins
SWGE Attraction 2,2021-07-25 09:41:03.927741-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 09:41:03.927774-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 09:41:03.927808-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-25 09:41:03.927841-04:00,50 mins
Alien Swirling Saucers,2021-07-25 09:41:03.927873-04:00,5 mins
Slinky Dog Dash,2021-07-25 09:41:03.927906-04:00,90 mins
Star Wars Launch Bay,2021-07-25 09:41:03.927939-04:00,Closed
Tune-In Lounge,2021-07-25 09:41:03.927971-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 10:01:05.381459-04:00,Closed
Walt Disney Presents,2021-07-25 10:01:05.382189-04:00,Open
Star Tours® - The Adventures Continue,2021-07-25 10:01:05.382254-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 10:01:05.382318-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 10:01:05.382355-04:00,70 mins
Muppet*Vision 3D,2021-07-25 10:01:05.382394-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 10:01:05.382428-04:00,50 mins
Millennium Falcon,2021-07-25 10:01:05.382467-04:00,70 mins
SWGE Attraction 2,2021-07-25 10:01:05.382503-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 10:01:05.382539-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 10:01:05.382575-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-25 10:01:05.382610-04:00,70 mins
Alien Swirling Saucers,2021-07-25 10:01:05.382645-04:00,35 mins
Slinky Dog Dash,2021-07-25 10:01:05.382679-04:00,90 mins
Star Wars Launch Bay,2021-07-25 10:01:05.382713-04:00,Closed
Tune-In Lounge,2021-07-25 10:01:05.382748-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 10:21:03.806647-04:00,Closed
Walt Disney Presents,2021-07-25 10:21:03.806695-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 10:21:03.806736-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 10:21:03.806778-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 10:21:03.806820-04:00,70 mins
Muppet*Vision 3D,2021-07-25 10:21:03.806861-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 10:21:03.806914-04:00,50 mins
Millennium Falcon,2021-07-25 10:21:03.806970-04:00,70 mins
SWGE Attraction 2,2021-07-25 10:21:03.807013-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 10:21:03.807054-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 10:21:03.807094-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-25 10:21:03.807135-04:00,70 mins
Alien Swirling Saucers,2021-07-25 10:21:03.807174-04:00,40 mins
Slinky Dog Dash,2021-07-25 10:21:03.807214-04:00,90 mins
Star Wars Launch Bay,2021-07-25 10:21:03.807254-04:00,Closed
Tune-In Lounge,2021-07-25 10:21:03.807294-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 10:41:03.982659-04:00,Closed
Walt Disney Presents,2021-07-25 10:41:03.982695-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 10:41:03.982728-04:00,40 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 10:41:03.982762-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 10:41:03.982805-04:00,70 mins
Muppet*Vision 3D,2021-07-25 10:41:03.982838-04:00,10 mins
"Toy Story Midway Mania!

(anonymous user said it was closed, 12 minutes ago)",2021-07-25 10:41:03.982871-04:00,55 mins
Millennium Falcon,2021-07-25 10:41:03.982905-04:00,80 mins
SWGE Attraction 2,2021-07-25 10:41:03.982938-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 10:41:03.982971-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 10:41:03.983004-04:00,60 mins
The Twilight Zone Tower of Terror,2021-07-25 10:41:03.983037-04:00,60 mins
Alien Swirling Saucers,2021-07-25 10:41:03.983069-04:00,40 mins
Slinky Dog Dash,2021-07-25 10:41:03.983102-04:00,90 mins
Star Wars Launch Bay,2021-07-25 10:41:03.983135-04:00,Closed
Tune-In Lounge,2021-07-25 10:41:03.983167-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 11:01:05.668987-04:00,Closed
Walt Disney Presents,2021-07-25 11:01:05.669025-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 11:01:05.669060-04:00,45 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 11:01:05.669094-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 11:01:05.669129-04:00,65 mins
Muppet*Vision 3D,2021-07-25 11:01:05.669162-04:00,10 mins
"Toy Story Midway Mania!

(anonymous user said it was closed, 32 minutes ago)",2021-07-25 11:01:05.669195-04:00,50 mins
Millennium Falcon,2021-07-25 11:01:05.669230-04:00,80 mins
SWGE Attraction 2,2021-07-25 11:01:05.669263-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 11:01:05.669296-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 11:01:05.669329-04:00,85 mins
The Twilight Zone Tower of Terror,2021-07-25 11:01:05.669362-04:00,60 mins
Alien Swirling Saucers,2021-07-25 11:01:05.669395-04:00,40 mins
Slinky Dog Dash,2021-07-25 11:01:05.669428-04:00,90 mins
Star Wars Launch Bay,2021-07-25 11:01:05.669461-04:00,Closed
Tune-In Lounge,2021-07-25 11:01:05.669494-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 11:21:04.297580-04:00,Closed
Walt Disney Presents,2021-07-25 11:21:04.297617-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 11:21:04.297656-04:00,45 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 11:21:04.297691-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 11:21:04.297725-04:00,70 mins
Muppet*Vision 3D,2021-07-25 11:21:04.297758-04:00,10 mins
"Toy Story Midway Mania!

(anonymous user said it was closed, about 1 hour ago)",2021-07-25 11:21:04.297791-04:00,55 mins
Millennium Falcon,2021-07-25 11:21:04.297825-04:00,90 mins
SWGE Attraction 2,2021-07-25 11:21:04.297858-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 11:21:04.297890-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 11:21:04.297923-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-25 11:21:04.297956-04:00,70 mins
Alien Swirling Saucers,2021-07-25 11:21:04.297989-04:00,40 mins
Slinky Dog Dash,2021-07-25 11:21:04.298022-04:00,90 mins
Star Wars Launch Bay,2021-07-25 11:21:04.298054-04:00,Closed
Tune-In Lounge,2021-07-25 11:21:04.298092-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 11:41:03.818121-04:00,Closed
Walt Disney Presents,2021-07-25 11:41:03.818159-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 11:41:03.818193-04:00,35 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 11:41:03.818227-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 11:41:03.818261-04:00,75 mins
Muppet*Vision 3D,2021-07-25 11:41:03.818294-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 11:41:03.818327-04:00,50 mins
Millennium Falcon,2021-07-25 11:41:03.818359-04:00,95 mins
SWGE Attraction 2,2021-07-25 11:41:03.818392-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 11:41:03.818424-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 11:41:03.818457-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-25 11:41:03.818490-04:00,95 mins
Alien Swirling Saucers,2021-07-25 11:41:03.818523-04:00,50 mins
Slinky Dog Dash,2021-07-25 11:41:03.818555-04:00,90 mins
Star Wars Launch Bay,2021-07-25 11:41:03.818588-04:00,Closed
Tune-In Lounge,2021-07-25 11:41:03.818620-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 12:01:05.812238-04:00,Closed
Walt Disney Presents,2021-07-25 12:01:05.812274-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 12:01:05.812307-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 12:01:05.812340-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 12:01:05.812373-04:00,75 mins
Muppet*Vision 3D,2021-07-25 12:01:05.812428-04:00,10 mins
"Toy Story Midway Mania!

(anonymous user said it was closed, 2 minutes ago)",2021-07-25 12:01:05.812475-04:00,55 mins
Millennium Falcon,2021-07-25 12:01:05.812509-04:00,95 mins
SWGE Attraction 2,2021-07-25 12:01:05.812540-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 12:01:05.812579-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 12:01:05.812630-04:00,80 mins
The Twilight Zone Tower of Terror,2021-07-25 12:01:05.812664-04:00,95 mins
Alien Swirling Saucers,2021-07-25 12:01:05.812697-04:00,50 mins
Slinky Dog Dash,2021-07-25 12:01:05.812730-04:00,90 mins
Star Wars Launch Bay,2021-07-25 12:01:05.812763-04:00,Closed
Tune-In Lounge,2021-07-25 12:01:05.812796-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 12:21:04.331340-04:00,Closed
Walt Disney Presents,2021-07-25 12:21:04.331377-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 12:21:04.331412-04:00,55 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 12:21:04.331446-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 12:21:04.331481-04:00,Closed
Muppet*Vision 3D,2021-07-25 12:21:04.331514-04:00,10 mins
"Toy Story Midway Mania!

(anonymous user said it was closed, 22 minutes ago)",2021-07-25 12:21:04.331547-04:00,50 mins
Millennium Falcon,2021-07-25 12:21:04.331581-04:00,90 mins
SWGE Attraction 2,2021-07-25 12:21:04.331675-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 12:21:04.331718-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 12:21:04.331758-04:00,75 mins
The Twilight Zone Tower of Terror,2021-07-25 12:21:04.331792-04:00,70 mins
Alien Swirling Saucers,2021-07-25 12:21:04.331825-04:00,50 mins
Slinky Dog Dash,2021-07-25 12:21:04.331858-04:00,100 mins
Star Wars Launch Bay,2021-07-25 12:21:04.331891-04:00,Closed
Tune-In Lounge,2021-07-25 12:21:04.331923-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 12:41:05.938039-04:00,Closed
Walt Disney Presents,2021-07-25 12:41:05.938077-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 12:41:05.938135-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 12:41:05.938171-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 12:41:05.938205-04:00,Closed
Muppet*Vision 3D,2021-07-25 12:41:05.938239-04:00,10 mins
"Toy Story Midway Mania!

(anonymous user said it was closed, 42 minutes ago)",2021-07-25 12:41:05.938272-04:00,50 mins
Millennium Falcon,2021-07-25 12:41:05.938326-04:00,80 mins
SWGE Attraction 2,2021-07-25 12:41:05.938363-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 12:41:05.938395-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 12:41:05.938428-04:00,75 mins
The Twilight Zone Tower of Terror,2021-07-25 12:41:05.938462-04:00,120 mins
Alien Swirling Saucers,2021-07-25 12:41:05.938495-04:00,35 mins
Slinky Dog Dash,2021-07-25 12:41:05.938527-04:00,100 mins
Star Wars Launch Bay,2021-07-25 12:41:05.938560-04:00,Closed
Tune-In Lounge,2021-07-25 12:41:05.938594-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 13:01:03.713886-04:00,Closed
Walt Disney Presents,2021-07-25 13:01:03.713922-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 13:01:03.713956-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 13:01:03.714021-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 13:01:03.714060-04:00,70 mins
Muppet*Vision 3D,2021-07-25 13:01:03.714094-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 13:01:03.714127-04:00,50 mins
Millennium Falcon,2021-07-25 13:01:03.714162-04:00,80 mins
SWGE Attraction 2,2021-07-25 13:01:03.714196-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 13:01:03.714229-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 13:01:03.714262-04:00,80 mins
The Twilight Zone Tower of Terror,2021-07-25 13:01:03.714295-04:00,120 mins
Alien Swirling Saucers,2021-07-25 13:01:03.716002-04:00,50 mins
Slinky Dog Dash,2021-07-25 13:01:03.716113-04:00,110 mins
Star Wars Launch Bay,2021-07-25 13:01:03.716175-04:00,Closed
Tune-In Lounge,2021-07-25 13:01:03.716229-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 13:21:03.858702-04:00,Closed
Walt Disney Presents,2021-07-25 13:21:03.858746-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 13:21:03.858784-04:00,20 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 13:21:03.858818-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 13:21:03.858852-04:00,70 mins
Muppet*Vision 3D,2021-07-25 13:21:03.858885-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 13:21:03.858918-04:00,45 mins
Millennium Falcon,2021-07-25 13:21:03.858950-04:00,80 mins
SWGE Attraction 2,2021-07-25 13:21:03.858982-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 13:21:03.859015-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 13:21:03.859048-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-25 13:21:03.859081-04:00,90 mins
Alien Swirling Saucers,2021-07-25 13:21:03.859113-04:00,60 mins
Slinky Dog Dash,2021-07-25 13:21:03.859146-04:00,90 mins
Star Wars Launch Bay,2021-07-25 13:21:03.859178-04:00,Closed
Tune-In Lounge,2021-07-25 13:21:03.859210-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 13:41:04.141507-04:00,Closed
Walt Disney Presents,2021-07-25 13:41:04.141544-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 13:41:04.141582-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 13:41:04.141617-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 13:41:04.141651-04:00,70 mins
Muppet*Vision 3D,2021-07-25 13:41:04.141684-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 13:41:04.141716-04:00,50 mins
Millennium Falcon,2021-07-25 13:41:04.141749-04:00,90 mins
SWGE Attraction 2,2021-07-25 13:41:04.141781-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 13:41:04.141814-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 13:41:04.141847-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-25 13:41:04.141880-04:00,90 mins
Alien Swirling Saucers,2021-07-25 13:41:04.141913-04:00,50 mins
Slinky Dog Dash,2021-07-25 13:41:04.141946-04:00,90 mins
Star Wars Launch Bay,2021-07-25 13:41:04.141979-04:00,Closed
Tune-In Lounge,2021-07-25 13:41:04.142011-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 14:01:03.428410-04:00,Closed
Walt Disney Presents,2021-07-25 14:01:03.428456-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 14:01:03.428505-04:00,35 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 14:01:03.428542-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 14:01:03.428575-04:00,Closed
Muppet*Vision 3D,2021-07-25 14:01:03.428608-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 14:01:03.428640-04:00,55 mins
Millennium Falcon,2021-07-25 14:01:03.428679-04:00,90 mins
SWGE Attraction 2,2021-07-25 14:01:03.428711-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 14:01:03.428743-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 14:01:03.428776-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-25 14:01:03.428808-04:00,90 mins
Alien Swirling Saucers,2021-07-25 14:01:03.428840-04:00,50 mins
Slinky Dog Dash,2021-07-25 14:01:03.428876-04:00,90 mins
Star Wars Launch Bay,2021-07-25 14:01:03.428909-04:00,Closed
Tune-In Lounge,2021-07-25 14:01:03.428941-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 14:21:07.128158-04:00,Closed
Walt Disney Presents,2021-07-25 14:21:07.128196-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 14:21:07.128229-04:00,35 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 14:21:07.128263-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 14:21:07.128297-04:00,Closed
Muppet*Vision 3D,2021-07-25 14:21:07.128331-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 14:21:07.128364-04:00,50 mins
Millennium Falcon,2021-07-25 14:21:07.128396-04:00,90 mins
SWGE Attraction 2,2021-07-25 14:21:07.128430-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 14:21:07.128463-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 14:21:07.128496-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-25 14:21:07.128529-04:00,40 mins
Alien Swirling Saucers,2021-07-25 14:21:07.128562-04:00,50 mins
Slinky Dog Dash,2021-07-25 14:21:07.128602-04:00,90 mins
Star Wars Launch Bay,2021-07-25 14:21:07.128635-04:00,Closed
Tune-In Lounge,2021-07-25 14:21:07.128668-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 14:41:03.178646-04:00,Closed
Walt Disney Presents,2021-07-25 14:41:03.178689-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 14:41:03.178724-04:00,35 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 14:41:03.178758-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 14:41:03.178792-04:00,Closed
Muppet*Vision 3D,2021-07-25 14:41:03.178826-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 14:41:03.178858-04:00,50 mins
Millennium Falcon,2021-07-25 14:41:03.178893-04:00,90 mins
SWGE Attraction 2,2021-07-25 14:41:03.178926-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 14:41:03.178958-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 14:41:03.178991-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-25 14:41:03.179024-04:00,65 mins
Alien Swirling Saucers,2021-07-25 14:41:03.179064-04:00,50 mins
Slinky Dog Dash,2021-07-25 14:41:03.179096-04:00,90 mins
Star Wars Launch Bay,2021-07-25 14:41:03.179129-04:00,Closed
Tune-In Lounge,2021-07-25 14:41:03.179161-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 15:01:07.156537-04:00,Closed
Walt Disney Presents,2021-07-25 15:01:07.156584-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 15:01:07.156617-04:00,25 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 15:01:07.156651-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 15:01:07.156687-04:00,50 mins
Muppet*Vision 3D,2021-07-25 15:01:07.156721-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 15:01:07.156753-04:00,45 mins
Millennium Falcon,2021-07-25 15:01:07.156785-04:00,85 mins
SWGE Attraction 2,2021-07-25 15:01:07.156817-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 15:01:07.156852-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 15:01:07.156885-04:00,80 mins
The Twilight Zone Tower of Terror,2021-07-25 15:01:07.156918-04:00,60 mins
Alien Swirling Saucers,2021-07-25 15:01:07.156972-04:00,30 mins
Slinky Dog Dash,2021-07-25 15:01:07.157008-04:00,80 mins
Star Wars Launch Bay,2021-07-25 15:01:07.157040-04:00,Closed
Tune-In Lounge,2021-07-25 15:01:07.157072-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 15:21:03.716966-04:00,Closed
Walt Disney Presents,2021-07-25 15:21:03.717004-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 15:21:03.717038-04:00,25 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 15:21:03.717072-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 15:21:03.717106-04:00,50 mins
Muppet*Vision 3D,2021-07-25 15:21:03.717139-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 15:21:03.717172-04:00,45 mins
Millennium Falcon,2021-07-25 15:21:03.717205-04:00,80 mins
SWGE Attraction 2,2021-07-25 15:21:03.717239-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 15:21:03.717271-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 15:21:03.717305-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-25 15:21:03.717338-04:00,55 mins
Alien Swirling Saucers,2021-07-25 15:21:03.717371-04:00,30 mins
Slinky Dog Dash,2021-07-25 15:21:03.717404-04:00,90 mins
Star Wars Launch Bay,2021-07-25 15:21:03.717437-04:00,Closed
Tune-In Lounge,2021-07-25 15:21:03.717470-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 15:41:04.261267-04:00,Closed
Walt Disney Presents,2021-07-25 15:41:04.261304-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 15:41:04.261338-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 15:41:04.261372-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 15:41:04.261406-04:00,65 mins
Muppet*Vision 3D,2021-07-25 15:41:04.261439-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 15:41:04.261472-04:00,45 mins
Millennium Falcon,2021-07-25 15:41:04.261504-04:00,90 mins
SWGE Attraction 2,2021-07-25 15:41:04.261537-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 15:41:04.261570-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 15:41:04.261603-04:00,55 mins
The Twilight Zone Tower of Terror,2021-07-25 15:41:04.261636-04:00,50 mins
Alien Swirling Saucers,2021-07-25 15:41:04.261668-04:00,30 mins
Slinky Dog Dash,2021-07-25 15:41:04.261703-04:00,90 mins
Star Wars Launch Bay,2021-07-25 15:41:04.261736-04:00,Closed
Tune-In Lounge,2021-07-25 15:41:04.261768-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 16:01:04.083897-04:00,Closed
Walt Disney Presents,2021-07-25 16:01:04.083935-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 16:01:04.083968-04:00,10 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 16:01:04.084002-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 16:01:04.084036-04:00,65 mins
Muppet*Vision 3D,2021-07-25 16:01:04.084069-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 16:01:04.084102-04:00,40 mins
Millennium Falcon,2021-07-25 16:01:04.084138-04:00,90 mins
SWGE Attraction 2,2021-07-25 16:01:04.084170-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 16:01:04.084202-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 16:01:04.084235-04:00,55 mins
The Twilight Zone Tower of Terror,2021-07-25 16:01:04.084268-04:00,50 mins
Alien Swirling Saucers,2021-07-25 16:01:04.084300-04:00,40 mins
Slinky Dog Dash,2021-07-25 16:01:04.084332-04:00,90 mins
Star Wars Launch Bay,2021-07-25 16:01:04.084364-04:00,Closed
Tune-In Lounge,2021-07-25 16:01:04.084396-04:00,Closed
Star Wars Launch Bay Theater,2021-07-25 16:21:12.062125-04:00,Closed
Walt Disney Presents,2021-07-25 16:21:12.062162-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-25 16:21:12.062196-04:00,20 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-25 16:21:12.062230-04:00,10 mins
Mickey and Minnie's Runaway Railway,2021-07-25 16:21:12.062264-04:00,60 mins
Muppet*Vision 3D,2021-07-25 16:21:12.062304-04:00,10 mins
Toy Story Midway Mania!,2021-07-25 16:21:12.062337-04:00,40 mins
Millennium Falcon,2021-07-25 16:21:12.062387-04:00,70 mins
SWGE Attraction 2,2021-07-25 16:21:12.062422-04:00,Open
Lightning McQueen's Racing Academy,2021-07-25 16:21:12.062455-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-25 16:21:12.062489-04:00,55 mins
The Twilight Zone Tower of Terror,2021-07-25 16:21:12.062522-04:00,50 mins
Alien Swirling Saucers,2021-07-25 16:21:12.062554-04:00,35 mins
