Star Wars Launch Bay,2021-07-24 11:21:05.315073-04:00,Closed
Tune-In Lounge,2021-07-24 11:21:05.315106-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 11:41:03.598162-04:00,Closed
Walt Disney Presents,2021-07-24 11:41:03.598199-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 11:41:03.598232-04:00,45 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 11:41:03.598268-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 11:41:03.598302-04:00,75 mins
Muppet*Vision 3D,2021-07-24 11:41:03.598339-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 11:41:03.598371-04:00,50 mins
Millennium Falcon,2021-07-24 11:41:03.598403-04:00,85 mins
SWGE Attraction 2,2021-07-24 11:41:03.598436-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 11:41:03.598468-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 11:41:03.598500-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 11:41:03.598533-04:00,50 mins
Alien Swirling Saucers,2021-07-24 11:41:03.598566-04:00,40 mins
Slinky Dog Dash,2021-07-24 11:41:03.598598-04:00,120 mins
Star Wars Launch Bay,2021-07-24 11:41:03.598630-04:00,Closed
Tune-In Lounge,2021-07-24 11:41:03.598680-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 12:01:03.889590-04:00,Closed
Walt Disney Presents,2021-07-24 12:01:03.889629-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 12:01:03.889665-04:00,40 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 12:01:03.889699-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 12:01:03.889733-04:00,70 mins
Muppet*Vision 3D,2021-07-24 12:01:03.889766-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 12:01:03.889807-04:00,55 mins
Millennium Falcon,2021-07-24 12:01:03.889840-04:00,95 mins
SWGE Attraction 2,2021-07-24 12:01:03.889873-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 12:01:03.889905-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 12:01:03.889938-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 12:01:03.889971-04:00,60 mins
Alien Swirling Saucers,2021-07-24 12:01:03.890009-04:00,35 mins
Slinky Dog Dash,2021-07-24 12:01:03.890043-04:00,120 mins
Star Wars Launch Bay,2021-07-24 12:01:03.890076-04:00,Closed
Tune-In Lounge,2021-07-24 12:01:03.890109-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 12:21:04.232551-04:00,Closed
Walt Disney Presents,2021-07-24 12:21:04.232589-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 12:21:04.232623-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 12:21:04.232669-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 12:21:04.232705-04:00,60 mins
Muppet*Vision 3D,2021-07-24 12:21:04.232738-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 12:21:04.232774-04:00,50 mins
Millennium Falcon,2021-07-24 12:21:04.232807-04:00,105 mins
SWGE Attraction 2,2021-07-24 12:21:04.232840-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 12:21:04.232873-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 12:21:04.232906-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 12:21:04.232940-04:00,70 mins
Alien Swirling Saucers,2021-07-24 12:21:04.232973-04:00,35 mins
Slinky Dog Dash,2021-07-24 12:21:04.233006-04:00,90 mins
Star Wars Launch Bay,2021-07-24 12:21:04.233039-04:00,Closed
Tune-In Lounge,2021-07-24 12:21:04.233071-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 12:41:03.760917-04:00,Closed
Walt Disney Presents,2021-07-24 12:41:03.760955-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 12:41:03.760988-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 12:41:03.761022-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 12:41:03.761056-04:00,60 mins
Muppet*Vision 3D,2021-07-24 12:41:03.761089-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 12:41:03.761122-04:00,45 mins
Millennium Falcon,2021-07-24 12:41:03.761155-04:00,75 mins
SWGE Attraction 2,2021-07-24 12:41:03.761188-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 12:41:03.761221-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 12:41:03.761254-04:00,70 mins
The Twilight Zone Tower of Terror,2021-07-24 12:41:03.761287-04:00,55 mins
Alien Swirling Saucers,2021-07-24 12:41:03.761320-04:00,40 mins
Slinky Dog Dash,2021-07-24 12:41:03.761352-04:00,95 mins
Star Wars Launch Bay,2021-07-24 12:41:03.761385-04:00,Closed
Tune-In Lounge,2021-07-24 12:41:03.761418-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 13:01:04.380676-04:00,Closed
Walt Disney Presents,2021-07-24 13:01:04.380723-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 13:01:04.380764-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 13:01:04.380805-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 13:01:04.380846-04:00,65 mins
Muppet*Vision 3D,2021-07-24 13:01:04.380889-04:00,10 mins
Toy Story Midway Mania!,2021-07-24 13:01:04.380930-04:00,45 mins
Millennium Falcon,2021-07-24 13:01:04.380970-04:00,75 mins
SWGE Attraction 2,2021-07-24 13:01:04.381009-04:00,Open
Lightning McQueen's Racing Academy,2021-07-24 13:01:04.381055-04:00,15 mins
Rock 'n' Roller Coaster Starring Aerosmith,2021-07-24 13:01:04.381103-04:00,65 mins
The Twilight Zone Tower of Terror,2021-07-24 13:01:04.381145-04:00,60 mins
Alien Swirling Saucers,2021-07-24 13:01:04.381185-04:00,40 mins
Slinky Dog Dash,2021-07-24 13:01:04.381225-04:00,95 mins
Star Wars Launch Bay,2021-07-24 13:01:04.381265-04:00,Closed
Tune-In Lounge,2021-07-24 13:01:04.381304-04:00,Closed
Star Wars Launch Bay Theater,2021-07-24 13:21:04.681113-04:00,Closed
Walt Disney Presents,2021-07-24 13:21:04.681149-04:00,20 mins
Star Tours® - The Adventures Continue,2021-07-24 13:21:04.681182-04:00,30 mins
Vacation Fun - An Original Animated Short with Mickey & Minnie,2021-07-24 13:21:04.681218-04:00,Open
Mickey and Minnie's Runaway Railway,2021-07-24 13:21:04.681251-04:00,80 mins
Muppet*Vision 3D,2021-07-24 13:21:04.681284-04:00,10 mins
