Column1,Column2,Column3
Expedition Everest - Legend of the Forbidden Mountain®,2021-07-24 11:01:05.493954-04:00,40 mins
Kali River Rapids,2021-07-24 11:01:05.493993-04:00,25 mins
DINOSAUR,2021-07-24 11:01:05.494029-04:00,40 mins
The Boneyard,2021-07-24 11:01:05.494067-04:00,Closed
TriceraTop Spin,2021-07-24 11:01:05.494101-04:00,10 mins
It's Tough to be a Bug!,2021-07-24 11:01:05.494136-04:00,15 mins
Avatar Flight of Passage,2021-07-24 11:01:05.494170-04:00,125 mins
Na'vi River Journey,2021-07-24 11:01:05.494205-04:00,55 mins
The Animation Experience at Conservation Station,2021-07-24 11:01:05.494239-04:00,Open
Affection Section,2021-07-24 11:01:05.494273-04:00,Closed
African Birds - Disney Animals,2021-07-24 11:01:05.494307-04:00,Closed
African Elephants - Disney Animals,2021-07-24 11:01:05.494341-04:00,Closed
African Hogs - Disney Animals,2021-07-24 11:01:05.494375-04:00,Closed
African Lions - Disney Animals,2021-07-24 11:01:05.494409-04:00,Closed
Ankole Cattle - Disney Animals,2021-07-24 11:01:05.494442-04:00,Closed
Asian Small-Clawed Otters - Disney Animals,2021-07-24 11:01:05.494476-04:00,Closed
Black Rhinos - Disney Animals,2021-07-24 11:01:05.494510-04:00,Closed
Conservation Station,2021-07-24 11:01:05.494543-04:00,Closed
Cotton-Top Tamarins - Disney Animals,2021-07-24 11:01:05.494576-04:00,Closed
Dino-Sue,2021-07-24 11:01:05.494612-04:00,Closed
Discovery Island Trails,2021-07-24 11:01:05.494645-04:00,Closed
Flamingos - Disney Animals,2021-07-24 11:01:05.494710-04:00,Closed
Fossil Fun Games,2021-07-24 11:01:05.494750-04:00,Closed
Gibbons - Disney Animals,2021-07-24 11:01:05.494784-04:00,Closed
Giraffes - Disney Animals,2021-07-24 11:01:05.494818-04:00,Closed
Gorillas - Disney Animals,2021-07-24 11:01:05.494851-04:00,Closed
Hippopotamuses - Disney Animals,2021-07-24 11:01:05.494884-04:00,Closed
Invertebrates at Gorilla Falls Exploration Trail - Disney Animals,2021-07-24 11:01:05.494917-04:00,Closed
Invertebrates at Rafiki's Planet Watch - Disney Animals,2021-07-24 11:01:05.494951-04:00,Closed
Komodo Dragons - Disney Animals,2021-07-24 11:01:05.494984-04:00,Closed
Meerkats - Disney Animals,2021-07-24 11:01:05.495017-04:00,Closed
Migratory Birds at Maharajah Jungle Trek - Disney Animals,2021-07-24 11:01:05.495050-04:00,Closed
Migratory Birds at The Oasis Exhibits - Disney Animals,2021-07-24 11:01:05.495084-04:00,Closed
Migratory Birds at Tree of Life - Disney Animals,2021-07-24 11:01:05.495118-04:00,Closed
Okapis - Disney Animals,2021-07-24 11:01:05.495152-04:00,Closed
Rainforest Cafe® at Disney's Animal Kingdom,2021-07-24 11:01:05.495186-04:00,Closed
The Oasis Exhibits,2021-07-24 11:01:05.495220-04:00,Closed
Tigers - Disney Animals,2021-07-24 11:01:05.495253-04:00,Closed
Tree of Life,2021-07-24 11:01:05.495285-04:00,Closed
Tusker House Restaurant,2021-07-24 11:01:05.495318-04:00,20 mins
Vultures - Disney Animals,2021-07-24 11:01:05.495351-04:00,Closed
White Rhinos - Disney Animals,2021-07-24 11:01:05.495384-04:00,Closed
Wilderness Explorers,2021-07-24 11:01:05.495417-04:00,Closed
Yak & Yeti™ Restaurant,2021-07-24 11:01:05.495450-04:00,Closed
Kilimanjaro Safaris,2021-07-24 11:21:05.309225-04:00,65 mins
Pangani Forest Exploration Trail,2021-07-24 11:21:05.309401-04:00,Open
Wildlife Express Train,2021-07-24 11:21:05.309461-04:00,Open
Expedition Everest - Legend of the Forbidden Mountain®,2021-07-24 11:21:05.309503-04:00,45 mins
Kali River Rapids,2021-07-24 11:21:05.309555-04:00,30 mins
DINOSAUR,2021-07-24 11:21:05.309713-04:00,40 mins
The Boneyard,2021-07-24 11:21:05.309841-04:00,Closed
TriceraTop Spin,2021-07-24 11:21:05.309894-04:00,15 mins
It's Tough to be a Bug!,2021-07-24 11:21:05.309936-04:00,15 mins
Avatar Flight of Passage,2021-07-24 11:21:05.309975-04:00,130 mins
Na'vi River Journey,2021-07-24 11:21:05.310018-04:00,75 mins
The Animation Experience at Conservation Station,2021-07-24 11:21:05.310054-04:00,Open
Affection Section,2021-07-24 11:21:05.310090-04:00,Closed
African Birds - Disney Animals,2021-07-24 11:21:05.310126-04:00,Closed
African Elephants - Disney Animals,2021-07-24 11:21:05.310162-04:00,Closed
African Hogs - Disney Animals,2021-07-24 11:21:05.310198-04:00,Closed
African Lions - Disney Animals,2021-07-24 11:21:05.310234-04:00,Closed
Ankole Cattle - Disney Animals,2021-07-24 11:21:05.310270-04:00,Closed
Asian Small-Clawed Otters - Disney Animals,2021-07-24 11:21:05.310306-04:00,Closed
Black Rhinos - Disney Animals,2021-07-24 11:21:05.310344-04:00,Closed
Conservation Station,2021-07-24 11:21:05.310379-04:00,Closed
Cotton-Top Tamarins - Disney Animals,2021-07-24 11:21:05.310418-04:00,Closed
Dino-Sue,2021-07-24 11:21:05.310454-04:00,Closed
Discovery Island Trails,2021-07-24 11:21:05.310496-04:00,Closed
Flamingos - Disney Animals,2021-07-24 11:21:05.310533-04:00,Closed
Fossil Fun Games,2021-07-24 11:21:05.310575-04:00,Closed
Gibbons - Disney Animals,2021-07-24 11:21:05.310613-04:00,Closed
Giraffes - Disney Animals,2021-07-24 11:21:05.310653-04:00,Closed
Gorillas - Disney Animals,2021-07-24 11:21:05.310691-04:00,Closed
Hippopotamuses - Disney Animals,2021-07-24 11:21:05.310737-04:00,Closed
Invertebrates at Gorilla Falls Exploration Trail - Disney Animals,2021-07-24 11:21:05.310781-04:00,Closed
Invertebrates at Rafiki's Planet Watch - Disney Animals,2021-07-24 11:21:05.310820-04:00,Closed
Komodo Dragons - Disney Animals,2021-07-24 11:21:05.310858-04:00,Closed
Meerkats - Disney Animals,2021-07-24 11:21:05.310899-04:00,Closed
Migratory Birds at Maharajah Jungle Trek - Disney Animals,2021-07-24 11:21:05.310935-04:00,Closed
Migratory Birds at The Oasis Exhibits - Disney Animals,2021-07-24 11:21:05.310985-04:00,Closed
Migratory Birds at Tree of Life - Disney Animals,2021-07-24 11:21:05.311023-04:00,Closed
Okapis - Disney Animals,2021-07-24 11:21:05.311064-04:00,Closed
Rainforest Cafe® at Disney's Animal Kingdom,2021-07-24 11:21:05.311099-04:00,Closed
The Oasis Exhibits,2021-07-24 11:21:05.311134-04:00,Closed
Tigers - Disney Animals,2021-07-24 11:21:05.311170-04:00,Closed
Tree of Life,2021-07-24 11:21:05.311205-04:00,Closed
